Priority,Org,Category,Sector,Tier,Why fit,Scale signal,Source,Status
High,Green Yatra,Implementing / planting NGOs (white-label per-tree dMRV / SaaS),"Tree-planting NGO / corporate CSR afforestation (Mumbai, pan-India)",High,"~35M trees and large corporate CSR drives ('Pedh Lagao, Life Banao'), but public material shows mass-plantation + awareness, no per-tree donor-facing dMRV. Prime white-label buyer to give CSR funders the verifiable per-tree proof and Net-Zero reporting they already market.",~35M trees planted; corporate CSR partner roster (e.g. John Cockerill India); 1-billion-tree goal in 20 years,https://www.greenyatra.org/corporates-csr.php,
High,Grow-Trees.com,Implementing / planting NGOs (white-label per-tree dMRV / SaaS),"Afforestation social enterprise + carbon developer (Mumbai, 23 states)",High,"Dual fit. As a planter: 20M+ trees across 23 states in 2024 via community-land + gift/e-card + corporate model, but proof is project certificates not per-tree geo-tagged dMRV — white-label upgrades the certificate into a live dashboard. As a carbon developer: runs registered Verra VM0047 'Trees for Farmers' agroforestry projects (Sonbhadra/Prayagraj UP, Jharkhand) monitored 6-monthly = textbook per-tree MRV need.","20M+ trees in 2024 across 23 states; 1.6M+ workdays; registered VM0047 projects (e.g. 50,000 trees / 12,500 tCO2 Sonbhadra); WEF New Champions 2024",https://thecsruniverse.com/articles/grow-trees-com-plants-20-million-trees-across-23-states-in-2024,
High,SayTrees Environmental Trust,Implementing / planting NGOs (white-label per-tree dMRV / SaaS),"Afforestation / Miyawaki urban forests, CSR (Bengaluru, multi-state)",High,"Founded 2007 by software engineers; 50+ monsoon drives/yr and major corporate CSR projects (the implementer behind CGI, Capgemini, Dell). Strong on planting/restoration but limited public per-tree MRV/survival dashboard — good fit for a branded dMRV + CSR-reporting layer, and engineering-led founders lower integration friction.",50+ plantation drives annually; large corporate CSR client base; multi-state Miyawaki + landscape restoration,https://www.saytrees.org/,
High,Forests by Heartfulness (Heartfulness Institute),Implementing / planting NGOs (white-label per-tree dMRV / SaaS),"Afforestation / ecological restoration, CSR (Hyderabad/Kanha, 12 states)",High,"3M+ trees over 10,000 acres, 20 native nurseries, claims 90% survival across 330 species and a 30M-by-2030 goal — but survival/impact claims lack a public per-tree verifiable dMRV. White-label layer turns their survival narrative into auditable proof for CSR donors and gifting; already lists on CSRBOX for CSR proposals.","3M+ trees, 10,000 acres, 6M saplings in nurseries; target 30M by 2030; CSRBOX-listed",https://heartfulness.org/forests/,
High,Give Me Trees Trust (Peepal Baba),Implementing / planting NGOs (white-label per-tree dMRV / SaaS),"Volunteer afforestation NGO (Delhi-NCR, 18 states)",High,20M+ trees across 202 districts in 18 states via volunteer drives; well-known brand with effectively no digital per-tree MRV stack. Classic white-label buyer — give a respected legacy NGO a modern geo-tag + donor-transparency layer to unlock CSR funding it currently can't substantiate.,20M+ trees across 202 districts / 18 states; high public/brand recognition (Peepal Baba),https://en.wikipedia.org/wiki/Peepal_Baba,
High,CSRBOX,CSR consultancies / aggregators / platforms (channel partners),CSR knowledge platform + Impact Advisory,High,"India's largest CSR data/impact-advisory collaborative; aggregates and lists afforestation projects (Apollo Tyres, ITC, Cummins) and designs CSR programs for India's largest companies and foundations. Strong environment deal flow + an impact-assessment arm = ideal reseller of a tech-enabled tree-planting product with audit-ready reporting.","Reaches 3M+ development professionals; three verticals (Impact Advisory, Platform, Programs); runs national 'Doing Good for Bharat' awards",https://csrbox.org/Impact-Advisory/,
High,NGOBOX,CSR consultancies / aggregators / platforms (channel partners),CSR/NGO matchmaking platform,High,"Sister platform to CSRBOX (founder Bhomik Shah); the biggest development-sector opportunities + CSR-partnership platform in India, brokering partnerships, RFPs and events between companies, CSR foundations and NGOs. A deal pipe — the right place to list/resell a productized afforestation + reporting offering to many CSR buyers.",Operating since 2012; CSR grants/RFP listings + the India CSR Summit; large corporate + NGO network overlapping CSRBOX,https://csrbox.org/index.php,
High,Sattva Consulting,CSR consultancies / aggregators / platforms (channel partners),Impact / CSR & ESG consulting firm,High,"Leading India impact + CSR consulting firm (since 2009); runs CSR advisory, programme management and ESG/sustainability advisory with environment flagships (water, green buildings, sustainable mobility, waste). Designs and manages multi-corporate CSR portfolios — can slot our geotagged afforestation + carbon-ready reporting into client programs and resell at scale.",Since 2009; CSR Advisory & Programme Management + ESG advisory serving large India Inc.; explicit environment/sustainability flagships,https://www.sattva.co.in/our-work/csr-advisory-and-programme-management/,
High,SoulAce,CSR consultancies / aggregators / platforms (channel partners),CSR consulting + monitoring & evaluation firm,High,"15+ yr CSR consulting/M&E firm; 3,000+ CSR projects across 28 states and 200+ districts, with Advisory, Impact Assessment and Employee Volunteering verticals. Marquee roster = strong reseller leverage; our geotagged proof + audit-ready impact reports directly strengthen their M&E value prop on environment projects.","3,000+ CSR projects, 28 states, 200+ districts; clients incl. Tata Sons, P&G, IBM, Oracle, Reliance Foundation, HUL, L&T, Kotak",https://www.soulace.in/,
High,United Way Mumbai,CSR consultancies / aggregators / platforms (channel partners),CSR implementation NGO / aggregator,High,"Major CSR aggregator/implementer running corporate-funded urban afforestation at scale (125,000+ trees maintained across 6 cities in 2023-24, incl. landfill-to-forest and railway-line forests). Already brokers and delivers tree-CSR for many corporates = high-fit reseller/co-delivery partner where our geotag + live-proof + carbon-ready reporting upgrades impact transparency.","125,000+ trees planted & maintained on government land across 6 cities in 2023-24 via corporate CSR",https://www.unitedwaymumbai.org/urbanafforestation,
High,Varaha (Varaha ClimateAg Pvt Ltd),Carbon-project developers + agroforestry / FPO programs (carbon-vertical dMRV),"Carbon developer — regenerative ag, agroforestry, biochar, ERW",High,"Flagship India nature-based developer running Verra agroforestry (e.g. Andhra Pradesh) plus regen-ag and biochar; 80,000+ farmers across ~700,000 acres, ~14 active projects, ~2M tCO2 removed. Built an in-house dMRV (remote sensing + ML) but agroforestry lines need defensible per-tree survival/growth evidence — direct fit. Heavy MRV spend + VVB exposure; well-capitalized.","~$50M raised since 2022 (incl. $20M led by WestBridge Feb 2026, $30.5M Mirova Nov 2025); Google 100k-t biochar + Microsoft offtakes",https://techcrunch.com/2026/02/03/indias-varaha-bags-20m-to-scale-carbon-removal-from-the-global-south/,
High,Anaxee Digital Runners,Carbon-project developers + agroforestry / FPO programs (carbon-vertical dMRV),dMRV + last-mile field network for nature-based carbon (ARR / agroforestry / cookstoves),High,"Closest direct fit in the carbon list. Purpose-built dMRV provider already operationalizing smallholder plantations under VM0047 with geotagged per-tree photos and tree-girth capture via 40,000+ field 'Digital Runners' across 26 states / 120,000 villages; publishes VM0047 agroforestry SOPs + VVB-ready evidence guidance. Buyer/partner for per-tree capture tooling.","40,000+ field agents; full dMRV service since 2021; published VM0047 agroforestry SOPs + registry guidance",https://anaxee.com/best-dmrv-partner-in-india-for-nature%E2%80%91based-carbon-projects-why-anaxee-digital-runners-leads-the-way/,
High,NABARD — Carbon Fund & FPO program,Carbon-project developers + agroforestry / FPO programs (carbon-vertical dMRV),Development-bank carbon fund + FPO aggregation (institutional),High,"Institutional anchor that funds/standardizes MRV across many projects. Launched a Rs 300cr Carbon Fund to de-risk high-quality credits and position 6,215 NABARD-promoted FPOs as carbon-market players; FAO MoU (June 2025) to operationalize carbon mechanisms; Rs 1,000cr Green Impact Fund alongside. Agroforestry on FPO land needs scalable per-tree MRV to aggregate smallholders credibly.","Rs 300cr Carbon Fund (launching Jan 2026); 6,215 FPOs promoted nationally; FAO partnership; Rs 1,000cr Green Impact Fund",https://www.fao.org/india/news/detail/fao-and-nabard-collaborate-to-advance-climate-resilient-agriculture-through-innovative-finance-and-carbon-markets/en,
Medium,Accenture India,IT / Tech / GCC corporate CSR (environment & tree-planting),"IT / Consulting (very large India GCC, 300k+ headcount)",Medium,"Integrates environmental stewardship into CSR; tree-plantation drives at Kharadi & Magarpatta (Pune); global reforestation/nature commitments. Massive India workforce = huge employee-volunteering plantation potential, though program scale not individually disclosed.",300k+ India headcount; campus plantation drives (Pune); global net-zero + nature-restoration commitments,https://thecsrjournal.in/top-csr-initiatives-tree-plantation-india-2/,
Medium,IBM India,IT / Tech / GCC corporate CSR (environment & tree-planting),IT Services / Tech (large India GCC),Medium,IBM employees in Pune and Bengaluru regularly run tree-plantation drives within campus CSR; named alongside Cognizant/Accenture for environmental stewardship at Kharadi/Magarpatta; strong IBM Volunteers culture. Env CSR confirmed; tree counts not individually disclosed.,Recurring employee plantation drives in Pune/Bengaluru; large India GCC footprint; established IBM Volunteers program,https://kharadipune.com/ibm-pune/,
Medium,SAP Labs India,IT / Tech / GCC corporate CSR (environment & tree-planting),"Software / Tech (large India GCC, Bengaluru HQ)",Medium,CSR includes tree plantation and lake cleaning; Bengaluru campus run as a bird sanctuary with a 'Leaders' Gallery' where managers plant trees; 30% energy + water cuts. Environment is an active CSR/volunteering theme; program scale not individually disclosed.,"Bengaluru campus biodiversity (bird sanctuary, tree gallery); tree-plantation + lake-cleaning CSR; 30% energy/water reduction",https://www.sap.com/india/about/social-responsibility.html,
Medium,Bajaj Finserv (Bajaj Foundation),"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",NBFC / financial-services holding (incl. Bajaj Finance),Medium,"FY25: Bajaj Finserv 265 CSR projects / Rs 335.73cr; Bajaj Finance 213 projects / Rs 289.80cr. Bajaj Foundation runs tree-plantation drives (Okhla Bird Sanctuary, Delhi-NCR AQI) and a 'green economy' focus. Large mandated CSR purse with an active but smaller environment line — room to scale a verifiable program.",Rs 335.73cr CSR FY25 (Finserv) + Rs 289.80cr (Finance); Bajaj Foundation plantation drives,https://www.bajajfinserv.in/finserv-digital-annual-report-fy25/our-commitment-to-society-corporate-social-responsibility.html,
Medium,Bank of Baroda,"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",Public sector bank,Medium,"On its 117th Foundation Day ran 'Banking for a Greener Planet' urban-forest + community-forest plantation; broader 'Baroda Earth' green push with a 7,00,000-tree call-to-action; already engages external tree-plantation implementers (Grow Billion Trees). PSU bank, mandated CSR, named greening program.",117th Foundation Day urban+community forests; 7 lakh-tree green initiative; Baroda Earth,https://growbilliontrees.com/pages/bank-of-baroda-marks-117th-foundation-day-with-a-dual-approach-to-sustainability-through-u,
Medium,Yes Bank (YES Foundation),"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",Private sector bank,Medium,"YES Foundation '3E' strategy explicitly includes Environmental Sustainability. 300,000+ trees via agroforestry; agroforestry project to plant 1 million fruit trees by 2028; 45,000+ trees under Greening Highways. Clear, time-bound, quantified afforestation = warm fit.","1M fruit-tree-by-2028 target; 300,000+ trees planted; Greening Highways 45,000+",https://thecsruniverse.com/articles/yes-foundation-marks-12-years-of-driving-social-impact,
Medium,IndusInd Bank,"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",Private sector bank,Medium,"Urban Afforestation Programme: 56,000 trees across Maharashtra, Karnataka, TN, Delhi, Haryana, WB, UP at ~90% survival, all native species, Miyawaki in 3 cities; plus 1.64 lakh trees in watershed/springshed/waterbody projects. Strong existing afforestation with a survival-tracking mindset = ideal living-proof upsell.","56,000 urban-afforestation trees (~90% survival) + 1.64 lakh watershed trees; Miyawaki",https://csrbox.org/India_CSR_Project_IndusInd-Bank-Limited-Urban-Afforestation-Project-(UAP)-pan-india_18539,
Medium,Tata Capital,"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",NBFC / financial services (Tata group),Medium,"Tata-group NBFC with a Miyawaki afforestation CSR: 77,500+ native saplings on 6.5 acres across 3 cities since FY23; ~260 t carbon/acre/yr at maturity; explicit urban-greening + biodiversity + footprint-offset framing. Carbon-aware, Miyawaki, NBFC = clean fit for living-proof + carbon-ledger pitch.","77,500+ Miyawaki saplings, 6.5 acres, 3 cities (since FY23); ~260 tC/acre/yr",https://uap.cere-india.org/tata-capital/,
Medium,Tata AIA Life Insurance,"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",Life insurance (Tata group JV),Medium,"Insurance-sector tree-CSR buyer: pledged 1,50,000 trees across Karnataka, Odisha (Koraput tribals), Sundarbans tiger periphery, Harda MP farmers, Jharkhand elephants, Srikakulam AP — a plant-trees-per-policy program tying plantation to product. Thematic, geo-spread plantation = strong per-policy living-proof fit.","1,50,000-tree pledge across 6+ states; plant-per-policy thematic program",https://indiacsr.in/csr-competitiveness-tata-aia-life-insurance-to-plant-trees-for-each-policy-purchased/,
Medium,Future Generali India Insurance,"Banks / NBFC / Insurance / Financial-Services CSR (BRSR-bound, environment programs)",General insurance JV,Medium,"Launched 'Responsible Roots' (with Catch Foundation) to plant 1 lakh native trees over 4 years at NSG Manesar; runs mega World Environment Day plantation drives. Insurer with a named, multi-year, quantified afforestation CSR = warm fit for survival-audit + branded-report upsell.",Responsible Roots: 1 lakh native trees over 4 yrs; WED 2025 mega drive,https://www.generalicentralinsurance.com/about-us/media-center-archive/mega-tree-plantation-drive-on-world-environment-day-5th-june-2025,
Medium,Hindalco Industries (Aditya Birla),Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Metals / Aluminium / Mining,Medium,"Greenbelt 5,144+ acres (4.5 lakh trees added last year, +10% cumulative); 10,000+ saplings at Gare Palma coal mines; converting 50 ha barren Gujarat coast to mangrove (1.25 lakh saplings by Mar 2026); Wadi-project plantations + open-cast mine reclamation. Land-based afforestation at scale; TNFD reporter.","5,144+ acres greenbelt; 4.5 lakh trees/yr; 1.25 lakh mangroves (50 ha) by Mar 2026",https://www.adityabirla.com/en/media/stories/championing-biodiversity-by-shifting-the-needle.html,
Medium,Vedanta Limited (Anil Agarwal Foundation),Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Metals / Mining / Oil & Gas,Medium,"~4,000 acres greenbelt across operations and ~800,000 saplings for afforestation + carbon sequestration; ~1.5 lakh trees in Jharsuguda with locals; Cairn arm reports ~25% absolute carbon cut over 5 yrs. Explicit carbon-sequestration framing + large CSR machine (Nand Ghar, 15 states) = ready audience for the carbon-credit vertical.","~4,000 acres greenbelt; ~800,000 saplings; ~1.5 lakh trees Jharsuguda; 25% carbon cut (Cairn) over 5 yrs",https://www.vedantalimited.com/vedanta-sr3/,
Medium,Toyota Kirloskar Motor (Green Wave Initiative),Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Auto,Medium,"First corporate in India to adopt Miyawaki (since 2009); 328,000+ trees across 112 acres on factory premises; 7,000+ saplings to employees in 2024 (8,000 target); cites measured 30.86 t carbon/acre. Carbon-quantification + employee-volunteering already in place = strong dual fit (proof + volunteering).","328,000+ trees/112 acres (Miyawaki since 2009); 7,000+ employee saplings 2024; 30.86 t C/acre",https://www.toyotabharat.com/news/2024/tkm-accelerates-green-wave-initiative-through-miyawaki-concept-driven-afforestation-and-sapling-distribution.html,
Medium,Grasim Industries (Aditya Birla),Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Cement / Chemicals / Textiles,Medium,"Miyawaki forest at Vilayat (Bharuch, Gujarat): 68,000+ trees toward a 1,00,000 target, 80+ species over 2 acres, women-employment model. Active, named, carbon-and-biodiversity-framed afforestation at a flagship AB Group manufacturing site.","68,000+ Miyawaki trees toward 1,00,000; 80+ species; 2 acres at Bharuch",https://growbilliontrees.com/pages/aditya-birla-group-s-green-initiative-miyawaki-forest-flourishes-in-bharuch,
Medium,Bharat Forge Limited (Mission Million Trees),Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Auto components / Forging,Medium,"CSR 'Mission Million Trees' (MoU with Agricultural Development Trust, Baramati) across Pune, Satara, Ahmadnagar, Solapur (Maharashtra), with a 2024 Impact Assessment Report published; CSR Times 2024 Gold. Named tree-CSR program with formal impact assessment = warm fit for MRV upgrade.",'Mission Million Trees' across 4 Maharashtra districts; 2024 impact-assessment report; CSR Times Gold 2024,https://www.bharatforge.com/assets/pdf/csr/Tree_Plantation_Impact_Assessment_Report%20_2024.pdf,
Medium,Dr. Reddy's Laboratories / Dr. Reddy's Foundation,Manufacturing / Auto / Energy / FMCG / Pharma / Cement / Metals CSR (deepest env-CSR budgets),Pharma,Medium,"Agroforestry-based plantation for carbon-footprint balancing (trees + crops, women-led); 'plant-a-tree-per-contact' at CPHI India 2024; 2024 Sustainability 100+ Leadership Award (Smart Agriculture). Explicit carbon + agroforestry framing = good Mid-tier fit, especially for the carbon vertical.",Agroforestry NET program; CPHI 2024 tree-per-contact; 2024 Sustainability 100+ Award,https://growbilliontrees.com/pages/forest-by-dr-reddys,
Medium,RPG Foundation (RPG Group),Corporate foundations + large philanthropic trusts (commission afforestation programs),Conglomerate (Tyres / Power / Infra),Medium,"Fresh 1t.org pledge to conserve/restore/grow 1 million trees by 2030 across 7 states (Maharashtra, Gujarat, TN, Telangana, MP, WB, Rajasthan), employee-nurtured — a named commitment with no entrenched MRV vendor yet = clean greenfield.",1 million trees by 2030 (1t.org / WEF); reforestation across 7 states; employee-nurtured,https://www.rpggroup.com/media/rpg-group-pledges-to-conserve-restore-and-grow-one-million-trees-by-2030-as-part-of-its-mega-plantation-drive-to-be-nature-positive,
Medium,Jankidevi Bajaj Gram Vikas Sanstha (Jamnalal Bajaj Foundation),Corporate foundations + large philanthropic trusts (commission afforestation programs),Auto / Conglomerate (Bajaj),Medium,Bajaj's main CSR delivery vehicle; environmental sustainability + watershed/water-conservation is one of five focus areas across 100+ villages; UNCCD-registered CSO. A rural-environment program that can layer in tree-planting + MRV.,"100+ villages across Pune, Aurangabad, Wardha (MH) and Sikar (RJ); Bajaj water-stewardship flagship; UNCCD CSO",https://www.unccd.int/cso/jankidevi-bajaj-gram-vikas-sanstha-jbgvs,
Medium,Anandana — The Coca-Cola India Foundation,Corporate foundations + large philanthropic trusts (commission afforestation programs),Beverages / FMCG,Medium,"Environment & climate change is a named focus alongside watershed management; runs 100+ watershed/water-restoration projects (check dams, farm ponds). Water-led today but a strong adjacency for catchment-area afforestation programs.","100+ projects; billions of litres replenished annually; multi-state watershed footprint (AP, Rajasthan, Bundelkhand)",https://thecsruniverse.com/articles/coca-cola-india-takes-initiatives-to-strengthen-water-security-in-rural-india,
Medium,Godrej (Good & Green / Godrej Enterprises Group),Corporate foundations + large philanthropic trusts (commission afforestation programs),Consumer / Engineering / Real Estate,Medium,"'Good & Green' runs a decades-old mangrove conservation + research program (Vikhroli) with a measured biodiversity index and 1,500+ species; partners WWF-India on 'Magical Mangroves'. A sophisticated biodiversity buyer that already quantifies outcomes = position as advanced MRV/biodiversity layer.","19% biodiversity-index rise at Vikhroli (FY24-25); 1,500+ species tracked; National Biodiversity Award (UNDP/MoEFCC)",https://www.godrejenterprises.com/about-us/good-and-green,
Medium,Oil and Natural Gas Corporation (ONGC),PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,Oil & Gas PSU (Maharatna),Medium,"Registered Green Credit Programme participant; ONGC Foundation runs Schedule-VII CSR with afforestation/environment as a theme, expanding under 'India @100 Vision'. Registered-for-GCP status confirms an eco-restoration mandate requiring multi-year MRV; specific tree figures less public.",Registered GCP participant; Maharatna CSR budget (one of India's largest); ONGC Foundation thematic environment CSR,https://india.mongabay.com/2024/12/green-credit-programme-rolls-out-with-little-clarity-on-exchange-value/,
Medium,Oil India Limited (OIL),PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,Oil & Gas PSU (Navratna),Medium,"Named registered Green Credit Programme participant alongside IOCL, NTPC, Coal India, NHPC; active environment CSR in NE India. Registered status confirms an eco-restoration mandate requiring multi-year MRV; specific hectare figure not yet public.",Registered GCP participant; Navratna CSR budget; environment CSR in Assam/NE,https://india.mongabay.com/2024/12/green-credit-programme-rolls-out-with-little-clarity-on-exchange-value/,
Medium,Steel Authority of India Limited (SAIL),PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,Steel Manufacturing PSU (Maharatna),Medium,"Greenbelt + afforestation across Bhilai, Rourkela, Durgapur, IISCO plants; 5 lakh+ trees in townships plus parks/botanical gardens. Multi-plant greenbelt footprint with statutory environmental-clearance plantation obligations = needs consolidated survival reporting.",5 lakh+ trees maintained in townships; greenbelts at 4+ integrated steel plants; Maharatna CSR budget,https://sail.co.in/en/csr,
Medium,Bharat Petroleum Corporation Limited (BPCL),PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,Oil & Gas PSU (Maharatna),Medium,"Launched 'Project Aranya' — drone aerial-seeding reforestation of ~50 ha across three Bihar forest regions (Aurangabad, Nawada, Gaya) with the Bihar Dept of Environment, Forest & Climate Change; deploying 1,00,000 seedballs. Tech-forward afforestation with a forest-dept partner = needs germination/survival verification that aerial seeding notoriously lacks.","100,000 seedballs; ~50 ha across 3 Bihar forest areas; Maharatna CSR budget; state forest-dept partnership",https://www.csrbox.org/India_CSR_news_BPCL-Launches-Aerial-Seeding-through-Drones-to-Reforest-Hills-in-Bihar_2579,
Medium,Telangana Forest Department / Telangana CSR Portal (Haritha Haram),PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,State forest department + state CSR channel,Medium,"Runs 'Telangana Ku Haritha Haram', a flagship 2-billion-tree drive (171 cr outside forest + 21 cr on forest land since 2015) with 53 departments, and explicitly invites corporate participation via csr.telangana.gov.in — a ready-made channel matching CSR buyers to state plantation projects, all needing survival/geotag verification.",2 billion-tree target; 171 cr + 21 cr trees since 2015; dedicated state CSR matchmaking portal; 53 depts,https://csr.telangana.gov.in/spotlight-projects/haritha-haram/,
Medium,Forest Development Corporation of Maharashtra Ltd (FDCM),PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,State forest PSU / forest department arm,Medium,"Maharashtra's state forest PSU; publishes a CSR application format inviting corporates to fund plantation/forest-development; sits under 'Green Maharashtra' / one-crore-tree campaigns (CM launched 1-cr drive in Gadchiroli, 40 lakh saplings phase 1). Direct state-channel for CSR-funded plantation needing third-party survival MRV.",State forest PSU with formal CSR intake; 'Green Maharashtra' 1-crore-tree campaign; 40 lakh saplings phase-1 Gadchiroli,https://www.fdcm.co.in/,
Medium,"Smart Cities Mission (MoHUA) — urban-forest SPVs (e.g. Indore, Pune)",PSU / Govt / CAMPA / Green Credit / Forest Depts / Smart Cities,Central urban mission + city SPVs,Medium,"Mission ~94-96% complete (7,500+ projects, Rs 1.51 lakh cr); several cities fund urban micro-forests. Indore Smart City launched Miyawaki micro-forests (500-5,000+ sqm plots); Pune among 100%-complete cities with green projects. City SPVs have capital budgets and need post-handover survival tracking for urban forests, which typically lack any MRV.","Rs 1.51 lakh cr across 7,500+ projects; Indore/Pune urban micro-forest programs; city-SPV capital budgets",https://growbilliontrees.com/pages/miyawaki-forest-in-indore,
Medium,Isha Outreach — Cauvery Calling / Project GreenHands,Implementing / planting NGOs (white-label per-tree dMRV / SaaS),"Farmer-driven agroforestry / large-scale tree planting (Coimbatore, Cauvery basin)",Medium,"122M saplings to date (13.6M in 2024-25) across 2.38 lakh farmers — enormous volume, but farmer-distributed planting on private farmland makes per-tree tracking and survival verification a known weak point (scientists have flagged monitoring gaps). High-value white-label dMRV target for farmer-level geo-tag + survival audit; large org = longer sales cycle.","122M total saplings; 13.6M in 2024-25 across 34,000 acres; 2.38 lakh participating farmers",https://www.aninews.in/news/national/general-news/136-cr-saplings-planted-in-2024-25-under-cauvery-calling-total-plantation-soars-to-122-cr20250605144626/,
Medium,EcoSikh (Guru Nanak Sacred Forests),Implementing / planting NGOs (white-label per-tree dMRV / SaaS),Faith-based micro-forest afforestation (Punjab + 7 states),Medium,"303 micro-forests / 167,000+ trees across Punjab, Rajasthan, Gujarat, Maharashtra, Delhi, Chandigarh, J&K. Discrete geo-bounded micro-forests are ideal units for per-forest + per-tree dMRV, yet they report only counts. White-label adds verifiable survival/biodiversity proof for diaspora and CSR funders.","303 micro-forests, 167,000+ trees across 7+ states/UTs; strong diaspora donor base; est. 2009",https://nelda.org.in/tree-plantation-ngos-india/,
Medium,Afforestt,Implementing / planting NGOs (white-label per-tree dMRV / SaaS),"Miyawaki mini-forest creation (Bengaluru, India + global)",Medium,Shubhendu Sharma's Miyawaki forest firm builds dense native forests for corporate/CSR clients. Methodology-heavy but project deliverables are not a continuous per-tree/per-plot dMRV with survival auditing — a white-label monitoring + client-reporting layer fits their B2B CSR model; open-source ethos may favor partnership framing.,Pioneer Miyawaki-method firm; numerous corporate/institutional forest projects in India and abroad,https://www.afforestt.com/news,
Medium,Foundation for Ecological Security (FES),Implementing / planting NGOs (white-label per-tree dMRV / SaaS),"Ecological restoration / commons & afforestation (Anand, Gujarat; pan-India drylands)",Medium,"Large IUCN-member restoration NGO (est. 2001) restoring degraded commons across many states; community-governed restoration with a massive landscape footprint. A per-plot/per-tree dMRV + funder-reporting layer suits CSR and institutional grants — position as M&E augmentation, not basic geo-tag, given their sophistication.","Pan-India restoration across drylands, forests, grasslands; IUCN member; long-standing institutional/CSR funding",https://fes.org.in/,
Medium,Nelda Foundation,Implementing / planting NGOs (white-label per-tree dMRV / SaaS),"Community tree-planting NGO (Pune, Maharashtra)",Medium,"Registered not-for-profit (est. 2016) with a billion-tree-by-2041 goal and volunteer drives, but no app/digital monitoring infrastructure. A volume-ambitious org with zero MRV = clean white-label opportunity to make the billion-tree goal measurable and fundable.",Billion-tree-by-2041 stated goal; institutional partnerships (e.g. IMERT Pune); CIN U01820MH2017NPL299091,https://nelda.org.in/tree-plantation-ngos-india/,
Medium,Vanam India Foundation,Implementing / planting NGOs (white-label per-tree dMRV / SaaS),"Tree-planting NGO (Tamil Nadu, govt + private land)",Medium,"TN NGO (est. 2015), 8 lakh+ trees on government and private lands with 1,000+ trustees. Strong regional volume, no evident digital per-tree MRV — white-label gives CSR-grade transparency and a differentiator vs other TN trusts. SAME GEOGRAPHY as the founder's GNF/Trichy base = easy proximity sell.","8 lakh+ (800,000+) trees planted; 1,000+ trustees; active across Tamil Nadu",https://vanamindiafoundation.org/about,
Medium,Samhita Social Ventures,CSR consultancies / aggregators / platforms (channel partners),Social-sector / CSR consulting firm,Medium,"15+ yr CSR strategy + implementation consultancy, 100% CSR/FCRA compliant, ~20,000-NGO network. Designs multi-client CSR portfolios aligned to SDGs — can resell a productized environment/afforestation offering with credible reporting across its corporate base.","17M+ lives impacted over 15 years; ~20,000-NGO network; CSR consultancy + Collective Good Foundation",https://samhita.org/about,
Medium,GuideStar India,CSR consultancies / aggregators / platforms (channel partners),NGO due-diligence / verification platform,Medium,"India's leading NGO information + due-diligence platform (8,600+ verified NGOs) used by corporates/CSR teams to vet and route funding. A credibility/channel layer: corporates picking environment NGOs through GuideStar are exactly who need a vetted, transparent tree-planting partner — co-listing puts us in front of buyers at the selection moment.","8,600+ NGOs on a globally trusted certification portal; serves corporates, government and institutions for due diligence",https://www.guidestarindia.org/,
Medium,Give (Give.do / GiveIndia),CSR consultancies / aggregators / platforms (channel partners),Donation + corporate giving / payroll-giving platform,Medium,"India's largest online giving platform connecting donors and corporates to verified NGOs, with corporate/payroll giving and CSR campaign capability. Runs cause campaigns (incl. environment) and can syndicate a tree-planting + live-proof product to its corporate and employee-giving base — a reseller channel for both CSR and employee-engagement spend.",India's best-known online donation platform; large verified-NGO marketplace + corporate giving / payroll-giving programs,https://give.do/,
Medium,ConnectFor,CSR consultancies / aggregators / platforms (channel partners),Corporate volunteering platform,Medium,"Volunteering platform (Rosy Blue Foundation) with 500+ partner NGOs running corporate philanthropy/employee-engagement programs, explicitly doing environment activities incl. cleanup drives and 'Green India' projects. Named partners (DBS, Godrej, Castrol, Mahindra, ITC) make it a direct reseller channel for managed tree-plantation volunteering days + reporting.","500+ partner organisations; corporate partners incl. DBS, Godrej, Castrol, Mahindra, ITC; active Green India vertical",https://www.connectfor.org/,
